,Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Philadelphia 76ers,,J.J. Redick,Boston Celtics,L,10/16/2018,29:46,7,17,.412,2,8,.250,0,0,,0,2,2,1,0,0,0,1,16,-10
1,Philadelphia 76ers,,T.J. McConnell,Boston Celtics,L,10/16/2018,22:26,2,5,.400,0,1,.000,0,0,,0,1,1,3,0,0,0,3,4,-11
2,Philadelphia 76ers,,Landry Shamet,Boston Celtics,L,10/16/2018,12:42,0,4,.000,0,2,.000,1,2,.500,0,1,1,0,0,0,0,0,1,-8
3,Philadelphia 76ers,,Amir Johnson,Boston Celtics,L,10/16/2018,11:11,1,1,1.000,0,0,,3,4,.750,0,3,3,1,0,0,0,1,5,-10
4,Philadelphia 76ers,,Jonah Bolden,Boston Celtics,L,10/16/2018,1:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
5,Philadelphia 76ers,,Furkan Korkmaz,Boston Celtics,L,10/16/2018,1:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
6,Boston Celtics,,Terry Rozier,Philadelphia 76ers,W,10/16/2018,26:31,5,10,.500,1,2,.500,0,0,,0,8,8,1,0,1,1,0,11,+22
7,Boston Celtics,,Marcus Smart,Philadelphia 76ers,W,10/16/2018,25:01,2,4,.500,2,4,.500,1,2,.500,0,3,3,3,0,0,2,2,7,+3
8,Boston Celtics,,Marcus Morris,Philadelphia 76ers,W,10/16/2018,20:30,7,12,.583,2,7,.286,0,0,,2,8,10,0,2,0,1,5,16,+3
9,Boston Celtics,,Aron Baynes,Philadelphia 76ers,W,10/16/2018,19:14,3,7,.429,2,4,.500,0,0,,3,1,4,3,0,0,1,3,8,+8
10,Boston Celtics,,Daniel Theis,Philadelphia 76ers,W,10/16/2018,4:08,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+3
11,Boston Celtics,,Semi Ojeleye,Philadelphia 76ers,W,10/16/2018,1:27,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+2
12,Boston Celtics,,Guerschon Yabusele,Philadelphia 76ers,W,10/16/2018,1:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
13,Boston Celtics,,Brad Wanamaker,Philadelphia 76ers,W,10/16/2018,0:49,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+2
14,Oklahoma City Thunder,,Jerami Grant,Golden State Warriors,L,10/16/2018,29:07,2,7,.286,1,4,.250,2,4,.500,2,0,2,2,0,3,0,1,7,-11
15,Oklahoma City Thunder,,Álex Abrines,Golden State Warriors,L,10/16/2018,23:28,3,8,.375,2,6,.333,0,0,,0,2,2,0,0,0,0,2,8,-5
