,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameType
0,0,0,0,Philadelphia 76ers,Boston Celtics,L,10/16/2018,240,34,87,0.391,5,26,0.192,14,23,0.609,6,41,47,18,8,5,16,20,87,-18,regular season
1,1,1,1,Boston Celtics,Philadelphia 76ers,W,10/16/2018,240,42,97,0.433,11,37,0.297,10,14,0.7140000000000001,12,43,55,21,7,5,14,20,105,18,regular season
2,2,2,2,Oklahoma City Thunder,Golden State Warriors,L,10/16/2018,240,33,91,0.363,10,37,0.27,24,37,0.649,16,29,45,21,12,6,14,21,100,-8,regular season
3,3,3,3,Golden State Warriors,Oklahoma City Thunder,W,10/16/2018,240,42,95,0.442,7,26,0.26899999999999996,17,18,0.9440000000000001,17,41,58,28,7,7,21,29,108,8,regular season
4,4,4,4,Milwaukee Bucks,Charlotte Hornets,W,10/17/2018,240,42,85,0.494,14,34,0.41200000000000003,15,20,0.75,11,46,57,26,5,4,21,25,113,1,regular season
5,5,5,5,Charlotte Hornets,Milwaukee Bucks,L,10/17/2018,240,41,92,0.446,16,38,0.42100000000000004,14,22,0.636,9,32,41,21,8,9,11,19,112,-1,regular season
6,6,6,6,Brooklyn Nets,Detroit Pistons,L,10/17/2018,240,40,82,0.488,5,27,0.185,15,22,0.682,5,34,39,28,9,5,17,23,100,-3,regular season
7,7,7,7,Detroit Pistons,Brooklyn Nets,W,10/17/2018,240,39,92,0.424,6,24,0.25,19,22,0.8640000000000001,14,32,46,21,5,5,14,20,103,3,regular season
8,8,8,8,Memphis Grizzlies,Indiana Pacers,L,10/17/2018,240,25,84,0.298,10,29,0.345,23,28,0.821,7,21,28,16,11,3,7,18,83,-28,regular season
9,9,9,9,Indiana Pacers,Memphis Grizzlies,W,10/17/2018,240,47,83,0.5660000000000001,10,26,0.385,7,13,0.5379999999999999,13,44,57,29,2,7,20,24,111,28,regular season
